crioulo,IPA
Abaço,abaso
Aberçà,abeɾsaː
abersà,abeɾsaː
aburçá,abuɾsaː
Aburcé,abuɾseː
Ablà,ablaː
Aborcido,aboɾsido
Absença,absensa
Absente,absente
Abundamente,abundamente
Abysso,abjso
Acá,akaː
Acceptà,aseptaː
Acceptação,aseptasaːo
Acceptavel,aseptaʋel
Acoompinhà,akoompiɲaː
Accordá,akoɾdaː
Acoordança,akooɾdansa
accordancè,akoɾdanseː
Acento,asento
Acerto,aseɾto
Achar,at̠ʃaɾ
Açorague,asoɾad̠ʒe
Ade,ade
adem,adem
Ade,ade
Adéo,adeːo
Adiôto,adioːto
Adivu,adiʋu
aDiu creole,adiu kɾeole
adio,adio
adéo,adeːo
adibe,adibe
adive,adiʋe
Adjudà,ad̠ʒudaː
Admiral,admiɾal
Adultéria,adulteːɾia
adulteração,adulteɾasaːo
Adulterioso,adulteɾiozo
adulteiroso,adulteiɾozo
Advocat,adʋokat
Advogador,adʋogadoɾ
Affajado,afad̠ʒado
Affeçan,afesan
Afflictá,afliktaː
Ágô,aːgoː
Agór,agoːɾ
agorra,agora
agorrè,agoreː
Agradado,agɾadado
Aguá,aguaː
aguvá,aguʋaː
Aindè,aindeː
Aio,aio
Ajo,ad̠ʒo
Alà,alaː
allá,alaː
Albre,albɾe
àlbri,aːlbɾi
àlbir,aːlbiɾ
Aldeano,aldeano
Aldia,aldia
Alegrado,alegɾado
Alegroso,alegɾozo
Alembrá,alembɾaː
Alembração,alembɾasaːo
Alfada,alfada
Alfàndago,alfaːndago
Alfiato,alfiato
Algoso,algozo
Alguems,ald̠ʒems
Alhum,aʎum
alum,alum
Alhuma,aʎuma
algum de Alhumas,algum de aʎumas
Alhumhoras,aʎumoɾas
Alhumhoras...alhumhoras...,aʎumoɾas aʎumoɾas 
Allagrá,alagɾaː
allagriá,alagɾiaː
Allagre,alagɾe
allagroso,alagɾozo
allegrioso,alegɾiozo
Allagria,alagɾia
allegri,alegɾi
Almári,almaːɾi
Almazem,almazem
Almóça,almoːsa
Alqumas,al k umas
Altividade,altiʋidade
Alumado,alumado
Aluminá,aluminaː
Alverção,alʋeɾsaːo
Alvorsà,alʋoɾsaː
alversá,alʋeɾsaː
Alvoroção,alʋoɾosaːo
alvroço,alʋɾoso
Causedor,kauzedoɾ
Depalmião,depalmiaːo
Amanhão,amaɲaːo
aminhão,amiɲaːo
amião,amiaːo
amiam,amiam
Amaroso,amaɾozo
ameroso,ameɾozo
amoro,amoɾo
Ambal,ambal
Améças,ameːsas
Amiçan,amisan
Amizade,amizade
Amos,amos
Ámper,aːmpeɾ
ámperámper,aːmpeɾaːmpeɾ
Ampér,ampeːɾ
Amportà,ampoɾtaː
Andà,andaː
andavè,andaʋeː
Anela,anela
Anima,anima
Anjo-chusmos,and̠ʒo t̠ʃuzmos
Anjo-cuidador,and̠ʒo kuidadoɾ
Anjo-fallas,and̠ʒo falas
Anjo-rosto,and̠ʒo ɾosto
Anjóla,and̠ʒoːla
Ankerà,ankeɾaː
ancrà,ankɾaː
Anno-casa,anno kaza
Anno-dia,anno dia
Anoute,anoute
Anciado,ansiado
Ansque,anske
Antiphono,antifono
Anxiamente,anʃiamente
Apertamento,apeɾtamento
apartamento,apaɾtamento
Apinhá,apiɲaː
Applicação,applikasaːo
applicaçan,applikasan
Approval,appɾoʋal
April,apɾil
Aquél,akeːl
aquelle,akele
Aquelvide,akelʋide
Arco,aɾko
Ária,aːɾia
Arià,aɾiaː
Ariba,aɾiba
Aromatizàrs,aɾomatizaːɾs
Aros,aɾos
Artaple,aɾtaple
Ártei,aːɾtei
Articulo,aɾtikulo
Artifiço,aɾtifiso
Artilháris,aɾtiʎaːɾis
Ásper,aːspeɾ
Asperà,aspeɾaː
Asperdade,aspeɾdade
Assi,asi
Assilai,asilai
assilei,asilei
Assitanto,asitanto
astanto,astanto
Assino,asino
Assofran,asofɾan
Assofrà,asofɾaː
Atà,ataː
Atarde,ataɾde
Atchà,at̠ʃaː
Até,ateː
Atramento,atɾamento
Atramentá,atɾamentaː
atrevimentá,atɾeʋimentaː
Atténcia,atːeːnsia
atténcè,atːeːnseː
Attermesan,atːeɾmezan
Audénci,audeːnsi
Audia,audia
Ógost,oːgost
Avantagem,aʋantad̠ʒem
Avelho,aʋeʎo
Avená,aʋenaː
Avoà,aʋoaː
Avogado,aʋogado
Avô-mai,aʋoː mai
Avô-pai,aʋoː pai
Azéte,azeːte
aziete,aziete
Azeitero,azeiteɾo
azietero,azieteɾo
Baas,bas
Bàbaro,baːbaɾo
Bêbi,beːbi
Baclà,baklaː
Baclador,bakladoɾ
Bacladura,bakladuɾa
bacaldura,bakalduɾa
Bafa,bafa
Bailo,bailo
Baiso,baizo
baço,baso
Bassá,basaː
Basséza,baseːza
Balança,balansa
Balmaçado,balmasado
Balmo,balmo
Bend,bend
Banda-dentro,banda dentɾo
Banda-fora,banda foɾa
Bandérè,bandeːɾeː
Bandeya,bandeja
Bangià,band̠ʒiaː
Bank,bank
Benkrut,benkɾut
Banths,bants
Bariga,baɾiga
Baro,baɾo
báru,baːɾu
Baro-casa,baɾo kaza
Barrato,barato
Barrê,bareː
Barido,baɾido
Bàsin,baːzin
Bassóra,basoːɾa
Bastanto,bastanto
Bàtica,baːtika
Batrai,batɾai
Battà,batːaː
Battalho,batːaʎo
Batte,batːe
Bautismo,bautizmo
Bautizá,bautizaː
Bautista,bautista
Bai,bai
bei,bei
Bazar,bazaɾ
bazaara,bazaɾa
Beberajo,bebeɾad̠ʒo
beberai,bebeɾai
Beberajochaps,bebeɾad̠ʒot̠ʃaps
Beberão,bebeɾaːo
babarão,babaɾaːo
bebrão,bebɾaːo
Bebera,bebeɾa
Béço,beːso
Bíar,biːaɾ
Bemfeito,bemfeito
bemfeto,bemfeto
Bemfeitos,bemfeitos
Bença,bensa
bencè,benseː
Bendição,bendisaːo
Beneficaçan,benefikasan
Benigdade,benigdade
Benzê,benzeː
benzà,benzaː
Bénza,beːnza
bénzè,beːnzeː
Berguer,beɾd̠ʒeɾ
Beryl,beɾjl
Béudo,beːudo
Beudice,beudise
Baibol,baibol
Baibol-nomes,baibol nomes
Bibora,biboɾa
Bijá,bid̠ʒaː
Billiard,biliaɾd
Billiard-cámber,biliaɾd kaːmbeɾ
Bill,bil
Bisiga,biziga
Bispada,bispada
Blada,blada
bladè,bladeː
Blanket,blanket
Blasphemaçan,blasfemasan
Blasphemoso,blasfemozo
Bõa,boːa
Bôt,boːt
Bobra,bobɾa
Bocadè,bokadeː
Bodrimo,bodɾimo
Boffetado,bofetado
Boftiá,boftiaː
buftiá,buftiaː
Boftada,boftada
Boltiá,boltiaː
Bom,bom
Bonancè,bonanseː
Bonino,bonino
Buts,buts
Bordè,boɾdeː
Bordiá,boɾdiaː
Borrecido,boresido
Bota,bota
Botle,botle
botei,botei
bottal,botːal
Bottle-vinho,botːle ʋiɲo
Boutic,boutik
Boutiqueiro,boutikeiɾo
Boventade,boʋentade
bovantade,boʋantade
Boventademente,boʋentademente
Bocs,boks
Branca,bɾanka
Branda,bɾanda
Brandi,bɾandi
Branquéza,bɾankeːza
Brao,bɾao
brau,bɾau
Braviá,bɾaʋiaː
Brazá,bɾazaː
Bremellio,bɾemelio
brimellio,bɾimelio
brimalho,bɾimaʎo
brimejo,bɾimed̠ʒo
Brinc'-de-fogo,bɾin k ə de fogo
Búrdar,buːɾdaɾ
Bruffà,bɾufaː
Bruffador,bɾufadoɾ
Bruffamento,bɾufamento
Bruço,bɾuso
Buco,buko
búku,buːku
Bunaca,bunaka
Bunito,bunito
Burà,buɾaː
Burcê,buɾseː
burçá,buɾsaː
Burdade,buɾdade
Búru,buːɾu
Busca,buska
Caba,kaba
cava,kaʋa
Cabai,kabai
cabaya,kabaja
cuobai,kuobai
Cabeça,kabesa
cabeçé,kabeseː
Cabelho,kabeʎo
Cabrado,kabɾado
Caçaria,kasaɾia
Cacada,kakada
Cacho,kat̠ʃo
Cachór,kat̠ʃoːɾ
Cachorinho,kat̠ʃoɾiɲo
Cadahora,kadaoɾa
cadora,kadoɾa
cadhor,kadoɾ
Cadhum,kadum
Cadè,kadeː
Cadéra,kadeːɾa
Cadia,kadia
Caflà,kaflaː
Caflação,kaflasaːo
Cafrana,kafɾana
Cahidas-per-traz,kaidas peɾ tɾas
Caix,kaiʃ
Calão,kalaːo
Càlis,kaːlis
Calmo,kalmo
Calquinha,kalkiɲa
Calsão,kalsaːo
Calvàri,kalʋaːɾi
Cambiador,kambiadoɾ
Cambra,kambɾa
cambrè,kambɾeː
càmber,kaːmbeɾ
Cambrão,kambɾaːo
Cam'rado,kaməɾado
cambrado,kambɾado
Campal,kampal
Can',kanə
candè,kandeː
Canàlhi,kanaːʎi
Cançàs,kansaːs
Câncer,kaːnseɾ
Candecera,kandeseɾa
can'cera,kanəseɾa
Candelàr,kandelaːɾ
candelér,kandeleːɾ
Cândia,kaːndia
Canto,kanto
Kep,kep
Capas,kapas
Capitel,kapitel
Captão,kaptaːo
capitano,kapitano
Caravão,kaɾaʋaːo
Careiro,kaɾeiɾo
cararo,kaɾaɾo
Cargá,kaɾgaː
Cargação,kaɾgasaːo
Cari,kaɾi
Caria,kaɾia
Caridavel,kaɾidaʋel
Caringuejo,kaɾind̠ʒed̠ʒo
Caristia,kaɾistia
caristi,kaɾisti
carrestia,karestia
Carrete,karete
careta,kaɾeta
caretè,kaɾeteː
Carro,karo
Cartá,kaɾtaː
Carta-mesa,kaɾta meza
Cartè,kaɾteː
Casa-lugária,kaza lugaːɾia
Casa-porta,kaza poɾta
Casião,kaziaːo
Cassa,kasa
Cassão,kasaːo
Castella,kastela
castellé,kasteleː
Castigação,kastigasaːo
Cativeira,katiʋeiɾa
Catividade,katiʋidade
Catàrr,kataːr
Causo,kauzo
Cavador,kaʋadoɾ
Cavalheria,kaʋaʎeɾia
Cavente,kaʋente
Cavelyéro,kaʋeljeːɾo
Cavelo,kaʋelo
Caverno,kaʋeɾno
Caxa,kaʃa
Cendê,sendeː
Cento,sento
centa,senta
Cents,sents
Ceremonio,seɾemonio
Certeza,seɾteza
certézè,seɾteːzeː
Chabuco,t̠ʃabuko
chabuca,t̠ʃabuka
Chalo,t̠ʃalo
Chan,t̠ʃan
Chap,t̠ʃap
Chápè,t̠ʃaːpeː
Chape,t̠ʃape
Chart,t̠ʃaɾt
Chela,t̠ʃela
Chéo,t̠ʃeːo
Chéro,t̠ʃeːɾo
chiero,t̠ʃieɾo
chiesto,t̠ʃiesto
chisto,t̠ʃisto
Chisto,t̠ʃisto
Chiado,t̠ʃiado
Cheadice,t̠ʃeadise
chediça,t̠ʃedisa
chidiça,t̠ʃidisa
chidice,t̠ʃidise
Chedice-lingua,t̠ʃedise lingua
China-patàz,t̠ʃina pataːs
Chinglà,t̠ʃinglaː
Chipi,t̠ʃipi
Chita,t̠ʃita
Chocarréa,t̠ʃokareːa
choqueria,t̠ʃokeɾia
Chomà,t̠ʃomaː
Chóma,t̠ʃoːma
Chorrà,t̠ʃoraː
churá,t̠ʃuɾaː
Chóve,t̠ʃoːʋe
Cristendade,kɾistendade
Cristmas,kɾistmas
Chuchadas,t̠ʃut̠ʃadas
Chuchado,t̠ʃut̠ʃado
Chulo,t̠ʃulo
Chumà,t̠ʃumaː
Chumaço,t̠ʃumaso
Chunambo,t̠ʃunambo
Chusmo,t̠ʃuzmo
Cinquo,sinkuo
cinquè,sinkeː
Cinquento,sinkento
Cintura,sintuɾa
Cinturà,sintuɾaː
Circumcisá,siɾkumsizaː
circumciá,siɾkumsiaː
Circumcido,siɾkumsido
Cizo,sizo
Cizomente,sizomente
Clar,klaɾ
Clarmente,klaɾmente
Cóber,koːbeɾ
Cobiço,kobiso
Kófi,koːfi
Coidá,kojdaː
Coidado,kojdado
Çoità,sojtaː
Coitado,kojtado
Colleição,koleisaːo
Color,koloɾ
clor,kloɾ
Columno,kolumno
Cóma,koːma
comè,komeː
Combersan,kombeɾsan
Começa,komesa
Comedi,komedi
comédè,komeːdeː
Comera,komeɾa
comêrè,komeːɾeː
comero,komeɾo
comeira,komeiɾa
coméria,komeːɾia
Comers,komeɾs
Comfortable,komfoɾtable
Comidá,komidaː
Comidação,komidasaːo
Commettá,kometːaː
Comménda,komeːnda
Comminhão,komiɲaːo
Communigá,komunigaː
Companha,kompaɲa
compinha,kompiɲa
Companhà,kompaɲaː
compinhà,kompiɲaː
Companhamen-to,kompaɲamen to
companhimento,kompaɲimento
compinhamento,kompiɲamento
Compinhador,kompiɲadoɾ
Companhério,kompaɲeːɾio
compinheiro,kompiɲeiɾo
Compania,kompania
Competè,kompeteː
competá,kompetaː
Complemento,komplemento
Compridão,kompɾidaːo
comperdão,kompeɾdaːo
compramento,kompɾamento
Comtodo,komtodo
Con'cé,konəseː
Cóncert,koːnseɾt
Concertá,konseɾtaː
Concérta,konseːɾta
Concià,konsiaː
Condiná,kondinaː
Condinação,kondinasaːo
Confessão,konfesaːo
confesso,konfeso
Confiador,konfiadoɾ
Confidença,konfidensa
Confina,konfina
Conforma,konfoɾma
Confundá,konfundaː
Confusado,konfuzado
condusadoso,konduzadozo
Consciancia,konssiansia
conscencia,konssensia
Consecrá,konsekɾaː
Consecração,konsekɾasaːo
Conselà,konselaː
Conselação,konselasaːo
consalação,konsalasaːo
Conselador,konseladoɾ
Conselyo,konseljo
Conselharo,konseʎaɾo
conselhéro,konseʎeːɾo
conseleiro,konseleiɾo
Consente,konsente
Consequences,konsekenses
Consistá,konsistaː
Constrangà,konstɾangaː
Constructado,konstɾuktado
Consuma,konsuma
Conta-papel,konta papel
Contendo,kontendo
Contentado,kontentado
Conter,konteɾ
Contino,kontino
continual,kontinual
Continualmente,kontinualmente
Contradizão,kontɾadizaːo
contradiza,kontɾadiza
Contrairo,kontɾaiɾo
Contriá,kontɾiaː
Contriação,kontɾiasaːo
Conversão,konʋeɾsaːo
Convertà,konʋeɾtaː
Convertação,konʋeɾtasaːo
Convidação,konʋidasaːo
Convinçà,konʋinsaː
Copa,kopa
cope,kope
Copa-ti,kopa ti
Copra,kopɾa
Copy,kopj
Coragè,koɾad̠ʒeː
corajo,koɾad̠ʒo
courajo,kouɾad̠ʒo
Coragemente,koɾad̠ʒemente
Cordà,koɾdaː
cordià,koɾdiaː
Cordè,koɾdeː
Cores,koɾes
Coresmo,koɾezmo
Corovà,koɾoʋaː
Corovè,koɾoʋeː
Correctà,korektaː
corrigá,korigaː
Correição,koreisaːo
Correntè,korenteː
currento,kurento
Corruptido,koruptido
Côrto,koːɾto
Cósse,koːse
Cossià,kosiaː
Cossér,koseːɾ
Costa,kosta
Couraço,kouɾaso
Kôrt,koːɾt
Cóusus,koːuzus
cousès,kouzeːs
Cóver,koːʋeɾ
Covodo,koʋodo
covido,koʋido
Creditor,kɾeditoɾ
Crem,kɾem
Crescentà,kɾessentaː
criscentá,kɾissentaː
Criançè,kɾianseː
criença,kɾiensa
Criminal,kɾiminal
Criscé,kɾisseː
crisé,kɾizeː
Crucifigà,kɾusifigaː
Cruveldade,kɾuʋeldade
Cubicè,kubiseː
cubiço,kubiso
Kuda,kuda
Cuidade,kuidade
cuidação,kuidasaːo
cuidança,kuidansa
cuidancè,kuidanseː
Cuidadomente,kuidadomente
cuidademente,kuidademente
Cujéra,kud̠ʒeːɾa
Cale,kale
cúli,kuːli
Culpador,kulpadoɾ
Cum,kum
Cumaso,kumazo
Cum'sá,kuməsaː
Cupá,kupaː
Cupação,kupasaːo
Curá,kuɾaː
Cural,kuɾal
Curavè,kuɾaʋeː
Curtezia,kuɾtezia
Cusá,kuzaː
Cúsa,kuːza
Cúspi,kuːspi
cóspi,koːspi
Custúma,kustuːma
custumo,kustumo
Customà,kustomaː
Dace,dase
Dàlhi,daːʎi
dàlyi,daːlji
dàhi,daːi
dàji,daːd̠ʒi
Dádimo,daːdimo
Danà,danaː
Danação,danasaːo
Danaficà,danafikaː
Danaficação,danafikasaːo
Dandy,dandj
Darté,daɾteː
derté,deɾteː
Dar-tomars,daɾ tomaɾs
Decémber,deseːmbeɾ
De-ceos-visitador,de seos ʋizitadoɾ
Dè,deː
Dedia,dedia
Dek,dek
Declarão,deklaɾaːo
Deféncia,defeːnsia
defencè,defenseː
Deido,deido
Deixa,deiʃa
dessa,desa
Demóni,demoːni
Denheiro,deɲeiɾo
Déntor,deːntoɾ
Dentro-voz,dentɾo ʋos
Deos-bénza,deos beːnza
Dér,deːɾ
Deremá,deɾemaː
Desasparà,dezaspaɾaː
Descargà,deskaɾgaː
Desci,dessi
Desclorà,deskloɾaː
Descompetido,deskompetido
Descompetidomente,deskompetidomente
Descontentado,deskontentado
Descuidação,deskuidasaːo
descuidancè,deskuidanseː
Deseijo,dezeid̠ʒo
deselho,dezeʎo
Deseijà,dezeid̠ʒaː
Desembarçan,dezembaɾsan
Desempàr,dezempaːɾ
desemp'raçáo,dezempəɾasaːo
Desempará,dezempaɾaː
desemprà,dezempɾaː
Desfamá,desfamaː
Desfazedo,desfazedo
desfazido,desfazido
Desfruitoso,desfɾuitozo
Desgardecé,dezgaɾdeseː
Desgradecimento,dezgɾadesimento
Desgosto-vida,dezgosto ʋida
Deshonestade,deʃonestade
Desià,deziaː
disià,diziaː
diziá,diziaː
Desio,dezio
disio,dizio
Desimportá,dezimpoɾtaː
desemportá,dezempoɾtaː
Desemportado,dezempoɾtado
Desemportança,dezempoɾtansa
desemportação,dezempoɾtasaːo
Deslimpo,dezlimpo
Deslimpéza,dezlimpeːza
Deslimpá,dezlimpaː
Desmará,dezmaɾaː
Desmasiação,dezmaziasaːo
Desobedencia,dezobedensia
Despadaçá,despadasaː
Desparança,despaɾansa
Desparecê,despaɾeseː
desparcé,despaɾseː
Disparcido,dispaɾsido
Despôde,despoːde
Despois,despojs
Despossessá,desposesaː
Desprazá,despɾazaː
Desprendido,despɾendido
Desprovà,despɾoʋaː
Desproveitoso,despɾoʋeitozo
Destribuá,destɾibuaː
Destribuação,destɾibuasaːo
destribução,destɾibusaːo
Destruvé,destɾuʋeː
destruivé,destɾuiʋeː
destruvà,destɾuʋaː
Destruiação,destɾuiasaːo
destruivição,destɾuiʋisaːo
destrucção,destɾuksaːo
Desvai,desʋai
Desvaloso,desʋalozo
Dettà,detːaː
Devida,deʋida
déuda,deːuda
dieudè,dieudeː
Devidor,deʋidoɾ
dividor,diʋidoɾ
Devotado,deʋotado
Devotamos,deʋotamos
Dézimo,deːzimo
Dézimos,deːzimos
Dezimá,dezimaː
Dez-mil-mil,dez mil mil
Dezoitè,dezojteː
Dia,dia
Diabolei,diabolei
Diamante-jubli,diamante d̠ʒubli
Diantá,diantaː
Diante-casa,diante kaza
Differéncia,difeɾeːnsia
Dinhéro,diɲeːɾo
Directà,diɾektaː
Disaccordancè,dizakoɾdanseː
Desapprovado,dezappɾoʋado
Discé,disseː
Discendé,dissendeː
Discerto,disseɾto
Discete,dissete
Disciplo,dissiplo
Disconfiador,diskonfiadoɾ
Disconfiadeira,diskonfiadeiɾa
Disconsalado,diskonsalado
Discontentomento,diskontentomento
Disconvertido,diskonʋeɾtido
Discourtezia,diskouɾtezia
Disemperado,dizempeɾado
Disfayeção,disfajesaːo
Disfiel,disfiel
disfieldado,disfieldado
Disfielmente,disfielmente
Disfieldade,disfieldade
Disgerado,dizd̠ʒeɾado
Disgosto,dizgosto
Dish,diʃ
Dishonorá,diʃonoɾaː
Dishonrável,diʃonɾaːʋel
Dislevedado,dizleʋedado
Dismercé,dizmeɾseː
Dismercimento,dizmeɾsimento
Dismissão,dizmisaːo
Dismuê,dizmueː
Desobdecimento,dezobdesimento
Disobedecido,dizobedesido
Disperdiçà,dispeɾdisaː
Dispidê,dispideː
Dispôs,dispoːs
Disprazeiro,dispɾazeiɾo
Disputação,disputasaːo
Disregulado,dizɾegulado
Disrepartido,dizɾepaɾtido
Disrezoado,dizɾezoado
